,simulation,model,n_sample,n_dim,rep,s@98
388,trunk,KNN,2048.0,4096.0,86.0,0.0048780487804878
389,trunk,KNN,2048.0,4096.0,89.0,0.0
390,trunk,KNN,2048.0,4096.0,90.0,0.0
391,trunk,KNN,2048.0,4096.0,88.0,0.0166092778574844
392,trunk,KNN,2048.0,4096.0,91.0,0.0
393,trunk,KNN,2048.0,4096.0,92.0,0.0
394,trunk,KNN,2048.0,4096.0,99.0,0.0117073170731707
395,trunk,KNN,2048.0,4096.0,95.0,0.0
396,trunk,KNN,2048.0,4096.0,96.0,0.010755619320899
397,trunk,KNN,2048.0,4096.0,93.0,0.0244189383070301
398,trunk,KNN,2048.0,4096.0,98.0,0.0
399,trunk,KNN,2048.0,4096.0,94.0,0.0136728837876614
400,trunk,KNN,4096.0,4.0,2.0,0.0
401,trunk,KNN,4096.0,4.0,0.0,0.0
402,trunk,KNN,4096.0,4.0,6.0,0.0
403,trunk,KNN,4096.0,4.0,3.0,0.0
404,trunk,KNN,4096.0,4.0,1.0,0.0
405,trunk,KNN,4096.0,4.0,7.0,0.0
406,trunk,KNN,4096.0,4.0,14.0,0.0
407,trunk,KNN,4096.0,4.0,9.0,0.0
408,trunk,KNN,4096.0,4.0,23.0,0.0
409,trunk,KNN,4096.0,4.0,4.0,0.0
410,trunk,KNN,4096.0,4.0,17.0,0.0
411,trunk,KNN,4096.0,4.0,22.0,0.0
412,trunk,KNN,4096.0,4.0,13.0,0.0
413,trunk,KNN,4096.0,4.0,8.0,0.0
414,trunk,KNN,4096.0,4.0,20.0,0.0
415,trunk,KNN,4096.0,4.0,59.0,0.0
416,trunk,KNN,4096.0,4.0,18.0,0.0
417,trunk,KNN,4096.0,4.0,5.0,0.0
418,trunk,KNN,4096.0,4.0,10.0,0.0
419,trunk,KNN,4096.0,4.0,21.0,0.0
420,trunk,KNN,4096.0,4.0,15.0,0.0
421,trunk,KNN,4096.0,4.0,19.0,0.0
422,trunk,KNN,4096.0,4.0,28.0,0.0
423,trunk,KNN,4096.0,4.0,11.0,0.0
424,trunk,KNN,4096.0,4.0,30.0,0.0
425,trunk,KNN,4096.0,4.0,24.0,0.0
426,trunk,KNN,4096.0,4.0,62.0,0.0
427,trunk,KNN,4096.0,4.0,65.0,0.0
428,trunk,KNN,4096.0,4.0,26.0,0.0
429,trunk,KNN,4096.0,4.0,61.0,0.0
430,trunk,KNN,4096.0,4.0,12.0,0.0
431,trunk,KNN,4096.0,4.0,16.0,0.0
432,trunk,KNN,4096.0,4.0,58.0,0.0
433,trunk,KNN,4096.0,4.0,33.0,0.0
434,trunk,KNN,4096.0,4.0,25.0,0.0
435,trunk,KNN,4096.0,4.0,31.0,0.0
436,trunk,KNN,4096.0,4.0,27.0,0.0
437,trunk,KNN,4096.0,4.0,44.0,0.0
438,trunk,KNN,4096.0,4.0,48.0,0.0
439,trunk,KNN,4096.0,4.0,66.0,0.0
