sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.0,0.0,78,1024,4093,6
0.0,0.0,79,128,4093,6
0.0,0.0,79,256,4093,6
0.0,0.0,79,512,4093,6
0.0,0.0,79,1024,4093,6
0.0,0.0,80,128,4093,6
0.0,0.0,80,256,4093,6
0.0,0.0,80,512,4093,6
0.0,0.0,80,1024,4093,6
0.0,0.0,81,128,4093,6
0.0,0.0,81,256,4093,6
0.0,0.0,81,512,4093,6
0.0,0.0,81,1024,4093,6
0.0,0.0,82,128,4093,6
0.0,0.0,82,256,4093,6
0.0,0.0,82,512,4093,6
0.0,0.0,82,1024,4093,6
0.0,0.0,83,128,4093,6
0.0,0.0,83,256,4093,6
0.0,0.0,83,512,4093,6
0.0,0.0,83,1024,4093,6
0.0,0.0,84,128,4093,6
0.0,0.0,84,256,4093,6
0.0,0.0,84,512,4093,6
0.0,0.0,84,1024,4093,6
0.0,0.0,85,128,4093,6
0.0,0.0,85,256,4093,6
0.0,0.0,85,512,4093,6
0.0,0.0,85,1024,4093,6
0.0,0.0,86,128,4093,6
0.0,0.0,86,256,4093,6
0.0,0.0,86,512,4093,6
0.0,0.0,86,1024,4093,6
0.0,0.0,87,128,4093,6
0.0,0.0,87,256,4093,6
0.0,0.0,87,512,4093,6
0.0,0.0,87,1024,4093,6
0.0,0.0,88,128,4093,6
0.0,0.0,88,256,4093,6
0.0,0.0,88,512,4093,6
0.0,0.0,88,1024,4093,6
0.0,0.0,89,128,4093,6
0.0,0.0,89,256,4093,6
0.0,0.0,89,512,4093,6
0.0,0.0,89,1024,4093,6
0.0,0.0,90,128,4093,6
0.0,0.0,90,256,4093,6
0.0,0.0,90,512,4093,6
0.0,0.0,90,1024,4093,6
0.0,0.0,91,128,4093,6
0.0,0.0,91,256,4093,6
0.0,0.0,91,512,4093,6
0.0,0.0,91,1024,4093,6
0.0,0.0,92,128,4093,6
0.0,0.0,92,256,4093,6
0.0,0.0,92,512,4093,6
0.0,0.0,92,1024,4093,6
0.0,0.0,93,128,4093,6
0.0,0.0,93,256,4093,6
0.0,0.0,93,512,4093,6
0.0,0.0,93,1024,4093,6
0.0,0.0,94,128,4093,6
0.0,0.0,94,256,4093,6
0.0,0.0,94,512,4093,6
0.0,0.0,94,1024,4093,6
0.0,0.0,95,128,4093,6
0.0,0.0,95,256,4093,6
0.0,0.0,95,512,4093,6
0.0,0.0,95,1024,4093,6
0.0,0.0,96,128,4093,6
0.0,0.0,96,256,4093,6
0.0,0.0,96,512,4093,6
0.0,0.0,96,1024,4093,6
0.0,0.0,97,128,4093,6
0.0,0.0,97,256,4093,6
0.0,0.0,97,512,4093,6
0.0,0.0,97,1024,4093,6
0.0,0.0,98,128,4093,6
0.0,0.0,98,256,4093,6
0.0,0.0,98,512,4093,6
0.0,0.0,98,1024,4093,6
0.0,0.0,99,128,4093,6
0.0,0.0,99,256,4093,6
0.0,0.0,99,512,4093,6
0.0,0.0,99,1024,4093,6
