sas98,idx,n_samples,n_dims_1,n_dims_2
0.0234375,61,256,509,6
0.0,61,256,1021,6
0.1484375,62,256,5,6
0.046875,62,256,13,6
0.0234375,62,256,29,6
0.015625,62,256,61,6
0.0390625,62,256,125,6
-0.0625,62,256,253,6
0.0,62,256,509,6
0.0,62,256,1021,6
0.1328125,63,256,5,6
0.03125,63,256,13,6
0.1796875,63,256,29,6
0.0234375,63,256,61,6
0.0859375,63,256,125,6
0.0859375,63,256,253,6
-0.015625,63,256,509,6
-0.0078125,63,256,1021,6
0.1796875,64,256,5,6
0.1015625,64,256,13,6
0.1875,64,256,29,6
0.1328125,64,256,61,6
0.203125,64,256,125,6
0.0703125,64,256,253,6
-0.0390625,64,256,509,6
-0.0078125,64,256,1021,6
0.109375,65,256,5,6
0.0625,65,256,13,6
-0.0078125,65,256,29,6
0.1484375,65,256,61,6
0.1015625,65,256,125,6
0.0703125,65,256,253,6
0.0625,65,256,509,6
0.015625,65,256,1021,6
0.0390625,66,256,5,6
0.0,66,256,13,6
0.0,66,256,29,6
0.015625,66,256,61,6
0.078125,66,256,125,6
0.0625,66,256,253,6
0.0078125,66,256,509,6
0.0234375,66,256,1021,6
0.0234375,67,256,5,6
0.0390625,67,256,13,6
0.0546875,67,256,29,6
-0.0078125,67,256,61,6
0.0703125,67,256,125,6
0.125,67,256,253,6
0.0234375,67,256,509,6
0.03125,67,256,1021,6
0.0390625,68,256,5,6
0.1640625,68,256,13,6
0.03125,68,256,29,6
0.1953125,68,256,61,6
0.1484375,68,256,125,6
0.1484375,68,256,253,6
0.1796875,68,256,509,6
0.0859375,68,256,1021,6
0.1171875,69,256,5,6
0.078125,69,256,13,6
0.0546875,69,256,29,6
0.0625,69,256,61,6
0.046875,69,256,125,6
-0.0078125,69,256,253,6
0.0390625,69,256,509,6
0.0,69,256,1021,6
0.09375,70,256,5,6
0.015625,70,256,13,6
0.0234375,70,256,29,6
0.078125,70,256,61,6
0.078125,70,256,125,6
0.03125,70,256,253,6
-0.015625,70,256,509,6
0.015625,70,256,1021,6
0.140625,71,256,5,6
0.109375,71,256,13,6
0.0625,71,256,29,6
0.078125,71,256,61,6
0.03125,71,256,125,6
0.109375,71,256,253,6
0.0390625,71,256,509,6
-0.0078125,71,256,1021,6
0.0546875,72,256,5,6
0.0703125,72,256,13,6
0.0625,72,256,29,6
0.0703125,72,256,61,6
0.0546875,72,256,125,6
0.03125,72,256,253,6
0.0390625,72,256,509,6
0.0078125,72,256,1021,6
0.171875,73,256,5,6
0.0625,73,256,13,6
0.0546875,73,256,29,6
-0.0078125,73,256,61,6
0.046875,73,256,125,6
0.1015625,73,256,253,6
0.0703125,73,256,509,6
0.0390625,73,256,1021,6
0.03125,74,256,5,6
0.0390625,74,256,13,6
0.1484375,74,256,29,6
0.0859375,74,256,61,6
0.046875,74,256,125,6
0.0234375,74,256,253,6
0.015625,74,256,509,6
0.015625,74,256,1021,6
0.0625,75,256,5,6
0.1171875,75,256,13,6
0.0390625,75,256,29,6
0.078125,75,256,61,6
0.1171875,75,256,125,6
0.0234375,75,256,253,6
0.0234375,75,256,509,6
0.0,75,256,1021,6
0.03125,76,256,5,6
0.0234375,76,256,13,6
0.09375,76,256,29,6
0.0625,76,256,61,6
0.0390625,76,256,125,6
0.0703125,76,256,253,6
0.015625,76,256,509,6
0.0,76,256,1021,6
0.1640625,77,256,5,6
0.0859375,77,256,13,6
0.046875,77,256,29,6
0.1015625,77,256,61,6
0.125,77,256,125,6
0.0703125,77,256,253,6
0.0234375,77,256,509,6
0.03125,77,256,1021,6
-0.015625,78,256,5,6
-0.0234375,78,256,13,6
0.0859375,78,256,29,6
0.046875,78,256,61,6
-0.0390625,78,256,125,6
0.015625,78,256,253,6
0.0625,78,256,509,6
0.0234375,78,256,1021,6
0.0234375,79,256,5,6
0.109375,79,256,13,6
0.1328125,79,256,29,6
0.0546875,79,256,61,6
0.0703125,79,256,125,6
0.09375,79,256,253,6
0.0390625,79,256,509,6
0.0,79,256,1021,6
0.0625,80,256,5,6
0.1171875,80,256,13,6
0.0390625,80,256,29,6
0.0390625,80,256,61,6
0.0,80,256,125,6
0.0703125,80,256,253,6
0.03125,80,256,509,6
0.015625,80,256,1021,6
0.015625,81,256,5,6
0.0078125,81,256,13,6
0.0390625,81,256,29,6
0.0546875,81,256,61,6
-0.015625,81,256,125,6
-0.0078125,81,256,253,6
0.0078125,81,256,509,6
0.0390625,81,256,1021,6
-0.0234375,82,256,5,6
-0.015625,82,256,13,6
0.0625,82,256,29,6
0.0625,82,256,61,6
-0.0078125,82,256,125,6
-0.0625,82,256,253,6
0.0390625,82,256,509,6
-0.03125,82,256,1021,6
0.03125,83,256,5,6
0.0625,83,256,13,6
0.0625,83,256,29,6
0.1015625,83,256,61,6
-0.015625,83,256,125,6
-0.0234375,83,256,253,6
-0.03125,83,256,509,6
-0.0078125,83,256,1021,6
0.03125,84,256,5,6
0.1640625,84,256,13,6
0.046875,84,256,29,6
0.0546875,84,256,61,6
0.03125,84,256,125,6
0.0703125,84,256,253,6
0.03125,84,256,509,6
-0.03125,84,256,1021,6
0.2109375,85,256,5,6
0.1953125,85,256,13,6
-0.0078125,85,256,29,6
0.203125,85,256,61,6
0.1015625,85,256,125,6
0.15625,85,256,253,6
0.0625,85,256,509,6
0.0625,85,256,1021,6
0.0546875,86,256,5,6
0.09375,86,256,13,6
0.1015625,86,256,29,6
0.1171875,86,256,61,6
0.0859375,86,256,125,6
0.0625,86,256,253,6
0.0625,86,256,509,6
0.0234375,86,256,1021,6
-0.015625,87,256,5,6
-0.03125,87,256,13,6
0.0,87,256,29,6
0.0234375,87,256,61,6
0.03125,87,256,125,6
-0.03125,87,256,253,6
-0.0078125,87,256,509,6
-0.0078125,87,256,1021,6
0.0546875,88,256,5,6
0.125,88,256,13,6
0.03125,88,256,29,6
0.0625,88,256,61,6
0.09375,88,256,125,6
0.015625,88,256,253,6
0.09375,88,256,509,6
0.0234375,88,256,1021,6
0.0859375,89,256,5,6
0.03125,89,256,13,6
0.0625,89,256,29,6
0.109375,89,256,61,6
0.078125,89,256,125,6
0.1328125,89,256,253,6
-0.015625,89,256,509,6
0.0078125,89,256,1021,6
-0.0078125,90,256,5,6
0.0,90,256,13,6
0.0625,90,256,29,6
0.046875,90,256,61,6
0.0625,90,256,125,6
0.046875,90,256,253,6
0.0,90,256,509,6
0.0078125,90,256,1021,6
0.078125,91,256,5,6
0.0625,91,256,13,6
0.1171875,91,256,29,6
0.1171875,91,256,61,6
0.046875,91,256,125,6
0.015625,91,256,253,6
