sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
-0.00390625,0.00011127102695052127,38,512,250,6
-0.0078125,7.195509540658396e-05,38,512,506,6
0.00390625,6.0562676475361954e-05,38,512,1018,6
-0.0078125,-0.001816058512469798,39,512,2,6
-0.0078125,-0.0010297354102238865,39,512,10,6
-0.015625,0.00040813681932772017,39,512,26,6
0.0,-0.0002725528452216519,39,512,58,6
-0.01171875,0.00013541593080246273,39,512,122,6
0.0,-2.578967050581582e-05,39,512,250,6
0.015625,-8.090304963259687e-05,39,512,506,6
-0.01171875,-0.00010437596948853489,39,512,1018,6
-0.015625,0.0001830497460846292,40,512,2,6
0.015625,0.000412979202493835,40,512,10,6
0.03125,-0.0005271444530935421,40,512,26,6
0.00390625,-0.00042228272765487684,40,512,58,6
0.01171875,0.000351430488616411,40,512,122,6
-0.015625,-0.00011881952475933932,40,512,250,6
-0.015625,-3.689177491250639e-05,40,512,506,6
-0.0078125,-8.7077157405413e-05,40,512,1018,6
-0.00390625,0.0018326465293246885,41,512,2,6
-0.03125,-0.00010670228370379675,41,512,10,6
-0.01953125,0.0006760635499146739,41,512,26,6
-0.00390625,0.0004392912750942335,41,512,58,6
-0.0078125,-0.00023483629400844475,41,512,122,6
0.01171875,0.00014840712065555817,41,512,250,6
0.01171875,2.3998220391785452e-05,41,512,506,6
0.01953125,0.00016931950229326365,41,512,1018,6
0.0390625,0.0006004859251633743,42,512,2,6
0.0234375,0.0010568617427750837,42,512,10,6
0.01171875,8.761539330925938e-05,42,512,26,6
-0.01171875,-0.0003052340640903317,42,512,58,6
-0.0078125,0.00022401113321024457,42,512,122,6
-0.0078125,-2.1279776245219928e-05,42,512,250,6
0.0,-0.00016680957014436615,42,512,506,6
0.0,-1.7782655321041396e-05,42,512,1018,6
0.0,-0.0004299734668061772,43,512,2,6
0.0,-0.00043051716001230034,43,512,10,6
-0.0234375,-0.0001478391754548003,43,512,26,6
0.0078125,-0.00010688409183112757,43,512,58,6
0.0,5.51672722737262e-06,43,512,122,6
0.0,8.82239634403259e-06,43,512,250,6
0.0,0.0002584534848787401,43,512,506,6
-0.01953125,-2.6596483168606078e-05,43,512,1018,6
-0.02734375,-0.0005767404592472714,44,512,2,6
-0.015625,0.00019279413609396556,44,512,10,6
0.02734375,-0.00015444207406145605,44,512,26,6
0.0078125,-7.162323749498878e-05,44,512,58,6
0.01953125,-4.4048872315682885e-05,44,512,122,6
0.015625,2.4862779904766263e-05,44,512,250,6
-0.00390625,7.691446677193792e-05,44,512,506,6
0.0078125,1.0050474874567783e-07,44,512,1018,6
0.0078125,-0.0007132487787114838,45,512,2,6
0.01171875,-0.001120983493156924,45,512,10,6
-0.015625,-0.00014513495872992,45,512,26,6
0.0078125,0.0005257204848541086,45,512,58,6
-0.03515625,-2.6419452939241417e-05,45,512,122,6
0.0,-9.04666853488445e-05,45,512,250,6
-0.01171875,-0.00023926492439096947,45,512,506,6
-0.00390625,4.443227574335573e-05,45,512,1018,6
0.01953125,-0.0006537832419162282,46,512,2,6
-0.02734375,-0.00022152153735788271,46,512,10,6
0.0,-0.000709764557446646,46,512,26,6
-0.02734375,-0.00038835326547226323,46,512,58,6
-0.00390625,-0.00030075152594044585,46,512,122,6
0.0,-0.0002626494723100281,46,512,250,6
0.0,0.00010688025785765554,46,512,506,6
-0.015625,-4.542334717294594e-05,46,512,1018,6
-0.015625,0.0005957091368300471,47,512,2,6
0.0234375,0.0007175353057123912,47,512,10,6
0.0078125,0.0006695039470674402,47,512,26,6
0.01953125,0.00028996785382928714,47,512,58,6
0.03515625,2.70511284408137e-05,47,512,122,6
0.0,0.0003173282647117581,47,512,250,6
-0.01953125,-7.79466362637038e-05,47,512,506,6
0.015625,-3.7606724498928656e-06,47,512,1018,6
-0.00390625,0.0005745374769423606,48,512,2,6
0.015625,0.0006159968449042097,48,512,10,6
-0.00390625,0.00024803661062955396,48,512,26,6
0.00390625,-0.00011028128900458789,48,512,58,6
-0.01171875,0.00022494352967550313,48,512,122,6
-0.01953125,4.96687467077539e-06,48,512,250,6
0.02734375,0.00010143153076169753,48,512,506,6
0.00390625,9.685788882873858e-05,48,512,1018,6
0.0078125,9.201669731950801e-05,49,512,2,6
-0.03125,-0.0006268125564812266,49,512,10,6
0.01171875,-5.569865480536951e-05,49,512,26,6
-0.0078125,8.185662097326407e-05,49,512,58,6
-0.0078125,-0.0003199961100225357,49,512,122,6
0.0078125,-4.4609370568937656e-05,49,512,250,6
0.0,-7.751847853842975e-05,49,512,506,6
0.0078125,-5.961238785401335e-05,49,512,1018,6
-0.01171875,0.0003654851669225856,50,512,2,6
0.0078125,0.000475935547434303,50,512,10,6
-0.0078125,-3.381024394921717e-05,50,512,26,6
-0.00390625,0.00010374955009939679,50,512,58,6
0.00390625,0.00042203717601085877,50,512,122,6
0.01171875,5.119121201269117e-05,50,512,250,6
0.00390625,-1.5321537744306113e-05,50,512,506,6
-0.03125,-4.365108513004756e-05,50,512,1018,6
0.015625,-0.00023782709216657594,51,512,2,6
0.00390625,-0.00010595580037964236,51,512,10,6
0.0078125,-0.0016775654370031479,51,512,26,6
-0.00390625,-0.00018981665433714934,51,512,58,6
0.0,-0.0005252965193159875,51,512,122,6
0.00390625,-8.014081361829017e-05,51,512,250,6
-0.01171875,-4.786845750381907e-05,51,512,506,6
0.03125,-0.0002203944416475645,51,512,1018,6
0.00390625,-4.979409331529183e-05,52,512,2,6
-0.01171875,0.00017419476191049554,52,512,10,6
0.0,0.0015380982384430864,52,512,26,6
0.00390625,0.0003042303455438322,52,512,58,6
0.0078125,0.00024004380201048114,52,512,122,6
-0.02734375,4.18624199165496e-05,52,512,250,6
0.00390625,0.00023878329925319797,52,512,506,6
-0.01171875,0.0003137532996727588,52,512,1018,6
0.00390625,0.00018163488111633264,53,512,2,6
0.02734375,0.0001707111346628265,53,512,10,6
0.0,0.0003604030496268118,53,512,26,6
0.00390625,-0.0008943201633617726,53,512,58,6
0.0,0.00021539285618854542,53,512,122,6
0.015625,-0.00010308494665522971,53,512,250,6
-0.00390625,-6.358284022134342e-05,53,512,506,6
0.015625,-7.087195401300761e-05,53,512,1018,6
-0.01171875,0.0008360748501416992,54,512,2,6
-0.0234375,0.00019560323068945618,54,512,10,6
-0.0234375,-0.00016338567664508918,54,512,26,6
-0.00390625,0.0008113097311905904,54,512,58,6
-0.015625,-0.00031455809312608274,54,512,122,6
-0.01953125,0.0001356142749040501,54,512,250,6
