n_dims_1,sim_type,model,metric,metric_value
122,multi_equal,comight,auc,0.479339599609375
122,multi_equal,comight,auc,0.5130615234375
122,multi_equal,comight,auc,0.4895477294921875
122,multi_equal,comight,auc,0.5110931396484375
122,multi_equal,comight,auc,0.482147216796875
122,multi_equal,comight,auc,0.5118560791015625
122,multi_equal,comight,auc,0.4464263916015625
122,multi_equal,comight,auc,0.482940673828125
122,multi_equal,comight,auc,0.475738525390625
122,multi_equal,comight,auc,0.5053558349609375
122,multi_equal,comight,auc,0.4566497802734375
122,multi_equal,comight,auc,0.4535064697265625
122,multi_equal,comight,auc,0.50921630859375
122,multi_equal,comight,auc,0.4955902099609375
122,multi_equal,comight,auc,0.4489288330078125
122,multi_equal,comight,auc,0.4637298583984375
122,multi_equal,comight,auc,0.4978485107421875
122,multi_equal,comight,auc,0.4573974609375
122,multi_equal,comight,auc,0.4285125732421875
122,multi_equal,comight,auc,0.53094482421875
122,multi_equal,comight,auc,0.477691650390625
122,multi_equal,comight,auc,0.484649658203125
122,multi_equal,comight,auc,0.4476165771484375
122,multi_equal,comight,auc,0.5609283447265625
122,multi_equal,comight,auc,0.4863739013671875
122,multi_equal,comight,auc,0.5346832275390625
122,multi_equal,comight,auc,0.4902496337890625
122,multi_equal,comight,auc,0.53631591796875
122,multi_equal,comight,auc,0.49755859375
122,multi_equal,comight,auc,0.506500244140625
122,multi_equal,comight,auc,0.4789276123046875
122,multi_equal,comight,auc,0.5146484375
122,multi_equal,comight,auc,0.4042816162109375
122,multi_equal,comight,auc,0.50360107421875
122,multi_equal,comight,auc,0.445953369140625
122,multi_equal,comight,auc,0.4582672119140625
122,multi_equal,comight,auc,0.5040740966796875
122,multi_equal,comight,auc,0.4385223388671875
122,multi_equal,comight,auc,0.455780029296875
122,multi_equal,comight,auc,0.5583953857421875
122,multi_equal,comight,auc,0.5125579833984375
122,multi_equal,comight,auc,0.4577178955078125
122,multi_equal,comight,auc,0.522796630859375
122,multi_equal,comight,auc,0.4764404296875
122,multi_equal,comight,auc,0.5508270263671875
122,multi_equal,comight,auc,0.5274810791015625
122,multi_equal,comight,auc,0.479827880859375
122,multi_equal,comight,auc,0.516357421875
122,multi_equal,comight,auc,0.5215606689453125
122,multi_equal,comight,auc,0.54547119140625
122,multi_equal,comight,auc,0.468109130859375
122,multi_equal,comight,auc,0.5563507080078125
122,multi_equal,comight,auc,0.499420166015625
122,multi_equal,comight,auc,0.4478607177734375
122,multi_equal,comight,auc,0.4993896484375
122,multi_equal,comight,auc,0.4808807373046875
122,multi_equal,comight,auc,0.55206298828125
122,multi_equal,comight,auc,0.492279052734375
122,multi_equal,comight,auc,0.51068115234375
122,multi_equal,comight,auc,0.4850006103515625
250,multi_equal,comight,auc,0.526275634765625
250,multi_equal,comight,auc,0.4510650634765625
250,multi_equal,comight,auc,0.489166259765625
250,multi_equal,comight,auc,0.4450531005859375
250,multi_equal,comight,auc,0.428619384765625
250,multi_equal,comight,auc,0.4568634033203125
250,multi_equal,comight,auc,0.43548583984375
250,multi_equal,comight,auc,0.4728240966796875
250,multi_equal,comight,auc,0.468048095703125
250,multi_equal,comight,auc,0.501129150390625
250,multi_equal,comight,auc,0.45330810546875
250,multi_equal,comight,auc,0.5201873779296875
250,multi_equal,comight,auc,0.4991455078125
250,multi_equal,comight,auc,0.4368896484375
250,multi_equal,comight,auc,0.5088043212890625
250,multi_equal,comight,auc,0.496551513671875
250,multi_equal,comight,auc,0.5041351318359375
250,multi_equal,comight,auc,0.503204345703125
250,multi_equal,comight,auc,0.4727935791015625
250,multi_equal,comight,auc,0.4713287353515625
250,multi_equal,comight,auc,0.5327606201171875
250,multi_equal,comight,auc,0.533721923828125
250,multi_equal,comight,auc,0.4848175048828125
250,multi_equal,comight,auc,0.5442047119140625
250,multi_equal,comight,auc,0.4656524658203125
250,multi_equal,comight,auc,0.5031585693359375
250,multi_equal,comight,auc,0.44549560546875
250,multi_equal,comight,auc,0.4488525390625
250,multi_equal,comight,auc,0.5507965087890625
250,multi_equal,comight,auc,0.4385223388671875
250,multi_equal,comight,auc,0.5182342529296875
250,multi_equal,comight,auc,0.5721893310546875
250,multi_equal,comight,auc,0.4409332275390625
250,multi_equal,comight,auc,0.5092010498046875
250,multi_equal,comight,auc,0.5239410400390625
250,multi_equal,comight,auc,0.528045654296875
250,multi_equal,comight,auc,0.4594879150390625
250,multi_equal,comight,auc,0.4663543701171875
250,multi_equal,comight,auc,0.5179595947265625
250,multi_equal,comight,auc,0.441375732421875
250,multi_equal,comight,auc,0.43023681640625
250,multi_equal,comight,auc,0.4642333984375
250,multi_equal,comight,auc,0.484619140625
250,multi_equal,comight,auc,0.50921630859375
250,multi_equal,comight,auc,0.5578155517578125
250,multi_equal,comight,auc,0.4933013916015625
250,multi_equal,comight,auc,0.4918212890625
250,multi_equal,comight,auc,0.4839324951171875
250,multi_equal,comight,auc,0.4628448486328125
250,multi_equal,comight,auc,0.476348876953125
250,multi_equal,comight,auc,0.517913818359375
250,multi_equal,comight,auc,0.440582275390625
250,multi_equal,comight,auc,0.495361328125
250,multi_equal,comight,auc,0.4730377197265625
250,multi_equal,comight,auc,0.445343017578125
250,multi_equal,comight,auc,0.4618988037109375
250,multi_equal,comight,auc,0.48199462890625
250,multi_equal,comight,auc,0.4984588623046875
250,multi_equal,comight,auc,0.4793548583984375
250,multi_equal,comight,auc,0.4783782958984375
250,multi_equal,comight,auc,0.4146881103515625
250,multi_equal,comight,auc,0.4786529541015625
250,multi_equal,comight,auc,0.4441070556640625
250,multi_equal,comight,auc,0.4811553955078125
250,multi_equal,comight,auc,0.480499267578125
250,multi_equal,comight,auc,0.4661712646484375
250,multi_equal,comight,auc,0.4726409912109375
250,multi_equal,comight,auc,0.5237579345703125
250,multi_equal,comight,auc,0.489044189453125
250,multi_equal,comight,auc,0.4927825927734375
