Variable Set,Classifier,mean,median,std,CoV
DyadAccessibility.cCRE_ProximalEnhancers,rf,0.4647058823529412,0.48039215686274506,0.05982802471526414,0.12874385065310004
LengthAnalysis.Length10,nb,0.37156862745098046,0.38235294117647056,0.06238407164679619,0.16789380759823774
MotifAnalysis.InsideTetramer,nb,0.16176470588235292,0.1568627450980392,0.02781619795904138,0.1719546782922558
LengthAnalysis.Length1,nb,0.27254901960784317,0.28431372549019607,0.0495655869010374,0.1818593476225113
LengthAnalysis.Length20,nb,0.38333333333333336,0.38235294117647056,0.079460164384126,0.20728738534989388
LociFraction.LINEsFraction,nb,0.35000000000000003,0.3382352941176471,0.07619987275224722,0.21771392214927776
MotifAnalysis.OutsideMonomer,nb,0.3676470588235294,0.36764705882352944,0.08298659119140973,0.2257235280406345
LociFraction.AluFraction,nb,0.3529411764705882,0.35294117647058826,0.08060707761213515,0.2283867199010496
LengthAnalysis.Length15,nb,0.3519607843137255,0.38235294117647056,0.08370160838624116,0.23781515474642334
MotifAnalysis.InsideDimer,nb,0.3558823529411765,0.37745098039215685,0.08581092024366249,0.24112159407310121
MotifAnalysis.InsideMonomer,nb,0.35294117647058826,0.36274509803921573,0.09444387904935134,0.2675909906398288
MotifAnalysis.OutsideDimer,nb,0.3970588235294118,0.39215686274509803,0.1063397889374664,0.2678187276943598
LociFraction.cCREFraction,nb,0.33039215686274515,0.3382352941176471,0.08996667331187184,0.27230269073622926
LociFraction.CompartmentFraction,nb,0.3264705882352942,0.3382352941176471,0.0907114432482385,0.2778548712108206
DyadAccessibility.cCRE_Promoters,nb,0.1303921568627451,0.11764705882352941,0.037216182149220206,0.2854173367834933
Delfi.LengthRatio,nb,0.1088235294117647,0.11764705882352941,0.03264867804969943,0.30001487937561644
LengthAnalysis.Length5,nb,0.3215686274509804,0.2696078431372549,0.10120382667108972,0.31471921708692535
MotifAnalysis.CongruentDimer,nb,0.4294117647058823,0.4411764705882353,0.14414098783913024,0.3356707935979745
MotifAnalysis.InsideTrimer,nb,0.2980392156862745,0.303921568627451,0.10451182722538375,0.35066468345359025
MotifAnalysis.OutsideTrimer,nb,0.31862745098039214,0.3480392156862745,0.11240357480691314,0.35277429631708124
MotifAnalysis.CongruentTetramer,nb,0.16666666666666666,0.14705882352941177,0.06059426329553899,0.36356557977323395
MotifAnalysis.OutsideTetramer,nb,0.1715686274509804,0.14215686274509803,0.06462413136343921,0.37666636566118855
MotifAnalysis.OutsideHexamer,nb,0.1549019607843137,0.16176470588235295,0.059279280226788134,0.38268902424888546
DyadAccessibility.cCRE_CTCF,nb,0.12941176470588237,0.10294117647058823,0.05128116404165498,0.3962635403218794
MotifAnalysis.OutsidePentamer,nb,0.12745098039215688,0.11764705882352941,0.050942670810849335,0.3997040325158947
DyadAccessibility.AluS,nb,0.16862745098039217,0.18627450980392157,0.07148127895513014,0.42390060775716704
DyadAccessibility.AluJ,nb,0.16372549019607843,0.12745098039215685,0.07151488715622308,0.43679751436735054
MotifAnalysis.InsideTrimer0.01,nb,0.14509803921568626,0.14705882352941177,0.06350641074784959,0.4376793173162607
DyadAccessibility.cCRE_DNaseH3K4me3,nb,0.153921568627451,0.13725490196078433,0.06764705882352941,0.43949044585987257
MotifAnalysis.InsideTrimer0.05,nb,0.14215686274509803,0.16176470588235295,0.07495352911195059,0.5272593082357904
DyadAccessibility.AluY,nb,0.16568627450980394,0.18627450980392157,0.09550146891628024,0.576399398192934
MotifAnalysis.DegenerateHexamer,nb,0.07352941176470587,0.0784313725490196,0.044766470811101466,0.60882400303098
MotifAnalysis.InsideHexamer,nb,0.07745098039215685,0.0784313725490196,0.047516160062951514,0.613499788154564
MotifAnalysis.InsidePentamer,nb,0.0784313725490196,0.0784313725490196,0.05037346109280443,0.6422616289332566
MotifAnalysis.DegenerateTetramer,nb,0.10098039215686275,0.08333333333333334,0.06693285956352267,0.662830259755273
DyadAccessibility.L1,nb,0.07352941176470587,0.09803921568627451,0.04984597576033789,0.6779052703405954
DyadAccessibility.cCRE_DistalEnhancers,nb,0.07450980392156863,0.09803921568627451,0.050980392156862744,0.6842105263157895
MotifAnalysis.CongruentHexamer,nb,0.07254901960784313,0.05392156862745098,0.052832131707088156,0.7282266802868909
DyadAccessibility.cCRE_ProximalEnhancers,nb,0.08627450980392157,0.09313725490196079,0.06380839253048227,0.7395972770578627
DyadAccessibility.BudhrajaRPR,nb,0.1107843137254902,0.10784313725490197,0.08736498893613413,0.7886043249102372
DyadAccessibility.LINEs,nb,0.06568627450980391,0.08823529411764705,0.05581351108819719,0.8496982285068827
